reso_field,reso_definition,reso_lookup,reso_data_type,is_extension,dash_form,dash_label,qobrix_schema,qobrix_path,sir_label,value_mapping_json,confidence,has_dash,has_qobrix,has_sir,notes
Appliances,A list of the appliances that will be included in the sale/lease of the property.,Appliances,"String List, Multi",false,,,Property,appliances,Appliances-white goods (yes/no),,medium,no,yes,yes,
AssociationAmenities,"The amenities provided by the homeowner association, mobile park or complex (e.g., pool, clubhouse).",AssociationAmenities,"String List, Multi",false,,,Property,association_amenities,"Amenities if in a complex (gym, sauna, playground etc)",,medium,no,yes,yes,
BathroomsFull,"A room containing all four of the four elements constituting a bath: toilet, sink, bathtub, shower head (in tub or stall). Some may considered a sink, toilet and tub (without a shower) a full bath, while others may consider that to be a three-quarters bath. In the event that the BathroomsThreeQuarter field is not in use, this field may represent the sum of all full and three-quarters bathrooms.",,Number,false,Residential_Sale,No. of Full Baths,Property,bathrooms,,,high,yes,yes,no,
BathroomsHalf,"A room containing two of the four elements constituting a bath: toilet, sink, bathtub, shower head (in a tub or stall). A half bath will typically contain a sink and toilet.",,Number,false,Residential_Sale,No. of Half Baths,,,,,high,yes,no,no,
BedroomsTotal,The total number of bedrooms in the dwelling.,,Number,false,Residential_Sale,No. of Bedrooms,Property,bedrooms,,,high,yes,yes,no,
BuildingAreaTotal,"The total area of the structure, including both finished and unfinished areas.",,Number,false,Residential_Sale,Building Area,Property,covered_area_amount,Covered area (sq.m.) internal area + covered verandas,,medium,yes,yes,yes,RESO BuildingAreaTotal can be gross or covered; clarify in CDL ingest.
City,The city in the listing address.,City,"String List, Single",false,Residential_Sale,City,Property,city,,,high,yes,yes,no,
Cooling,A list describing the cooling or air conditioning features of the property.,Cooling,"String List, Multi",false,,,Property,air_condition,,,medium,no,yes,no,"Qobrix is boolean; Cooling is enum-list. Map true -> ['Central Air'], false -> []."
Country,The country abbreviation in a postal address.,Country,"String List, Single",false,Residential_Sale,Country,Property,country,,,high,yes,yes,no,
CoveredSpaces,The total number of garage and carport spaces.,,Number,false,,,Property,covered_parking,,,medium,no,yes,no,
DevelopmentStatus,"A list of the development status of the property, which is an important factor in selling, purchasing and developing land properties.",DevelopmentStatus,"String List, Multi",false,,,Property,construction_stage,,,medium,no,yes,no,
ExpirationDate,"The date when the listing agreement will expire. This is the date entered by the agent reflecting when the change contractually occurred or will occur, not a timestamp of when the change was made in the MLS. The expiration date of listings, prior to their expiration, cancellation, sale or lease, is confidential information and should be restricted to the agent and their managers, partners or broker.",,Date,false,Residential_Sale,Expiration Date,,,,,high,yes,no,no,
Furnished,"The property being leased is furnished, unfurnished or partially furnished.",Furnished,"String List, Single",false,,,Property,furnished,,"{""Furnished"": ""Furnished"", ""Optionally_furnished"": ""Negotiable"", ""Semi_furnished"": ""Partially"", ""Unfurnished"": ""Unfurnished""}",high,no,yes,no,
