reso_resource,reso_field,dash_form,dash_label,qobrix_schema,qobrix_path,sir_label,is_extension,value_mapping_json,confidence,notes
Contacts,Birthdate,Person,Birth Date,Contact,birthdate,,false,,high,
Contacts,ContactKey,,,Contact,id,,false,,high,
Contacts,Email,,,Contact,email,E-mail,false,,high,
Contacts,FirstName,Person,First Name,Contact,first_name,Name of the Seller (as per the agreement),false,,medium,
Contacts,HomeCountry,Person,Country,Contact,country,Country of origin/ residence,false,,high,
Contacts,HomePhone,,,Contact,phone_2,,false,,low,
Contacts,Language,,,Contact,preferred_language,,false,,high,
Contacts,LastName,Person,Last Name,Contact,last_name,,false,,high,
Contacts,MobilePhone,,,Contact,phone,Telephone,false,,medium,"Qobrix has phone, phone_2, phone_3 - all unlabelled; CDL maps phone -> MobilePhone by convention."
Contacts,PreferredAddress,Person,Address Line 1,,,,false,,high,
Contacts,x_sm_lead_source,,,,,"Source of contact (personal, introducer, company)",true,,high,Qobrix Contact has no native lead-source field; SIR is the source of record. RESO has Property.LeadSource but Contacts only has Source via different path; promote to extension.
Contacts,x_sm_preferred_communication,,,,,Preferred method of communication,true,,high,
Media,MediaKey,,,MediaResponse,id,,false,,high,
Media,MediaType,,,MediaResponse,file/mime_type,,false,,medium,"Coarse mapping from mime_type prefix to RESO MediaType lookup (image -> Photo, video -> Video, etc.)."
Media,MediaURL,,,MediaResponse,file/href,,false,,medium,MediaResponse.file is a nested MediaFile object; href is the public URL (original_url for the original).
Media,Order,,,MediaResponse,display_order,,false,,high,
Media,ResourceName,,,MediaResponse,related_model,,false,,medium,Qobrix model name (e.g. 'Property') maps directly to the RESO ResourceName lookup value.
Media,ResourceRecordKey,,,MediaResponse,related_id,,false,,high,related_model + related_id form the parent pointer; CDL stores related_id under ResourceRecordKey and uses related_model to set ResourceName.
Member,MemberDesignation,Person,Designations,,,,false,,high,
Member,MemberFirstName,Person,First Name,,,,false,,low,Qobrix Agent has no first_name; resolved via Agent.primary_contact -> Contact.first_name in CDL ingest.
Member,MemberFullName,Person,Printed Name,Agent,name,,false,,high,
Member,MemberKey,,,Agent,id,,false,,high,Qobrix Agent UUID; CDL canonical key.
Member,MemberLanguages,Person,Spoken Languages,,,,false,,high,
Member,MemberLastName,Person,Last Name,,,,false,,low,Resolved via Agent.primary_contact -> Contact.last_name.
Member,MemberLoginId,,,User,username,,false,,high,
Member,MemberMlsId,,,Agent,ref,,false,,high,Human-readable Agent reference.
Member,MemberStatus,,,Agent,status,,false,,medium,Combine status + trashed null.
Member,MemberType,,,Agent,agent_type,,false,,low,Qobrix agent_type is 'agency'/'individual_agent'; RESO MemberType lookup is REALTOR-bureau-specific (REALTOR Salesperson/Broker/etc.) and doesn't fit Cyprus brokerage model. Default to MLS Only Salesperson on import; no value mapping enforced.
Member,OfficeKey,,,Agent,agency,,false,,high,Qobrix folds office identity into the Agent's agency field.
Office,OfficeKey,Residential_Sale,Listing Office,,,,false,,high,Qobrix has no Branch schema; CDL keys this from Property.office or Agent.agency.
Office,OfficeName,Residential_Sale,Listing Office,,,,false,,medium,
Property,Appliances,,,Property,appliances,Appliances-white goods (yes/no),false,,medium,
